Glassdoor Review Page,supposed_n_reviews,supposed_n_pages
https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm,9564,957
https://www.glassdoor.com/Reviews/Ulta-Beauty-Reviews-E9466.htm,9430,943
https://www.glassdoor.com/Reviews/Wendy-s-Reviews-E728.htm,9232,924
https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm,8899,890
https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm,8865,887
https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm,8847,885
https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm,8709,871
https://www.glassdoor.com/Reviews/Cerner-Reviews-E1242.htm,8663,867
https://www.glassdoor.com/Reviews/DICK-S-Sporting-Goods-Reviews-E8666.htm,8504,851
https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm,8471,848
